,31.12.24,01.12.24,01.11.24,02.10.24,02.09.24,03.08.24,04.07.24,04.06.24,05.05.24,05.04.24,06.03.24,05.02.24,06.01.24,07.12.23,07.11.23,08.10.23,08.09.23,09.08.23,10.07.23,10.06.23,11.05.23,11.04.23,12.03.23,10.02.23,11.01.23,12.12.22,12.11.22,13.10.22,13.09.22,14.08.22,15.07.22,15.06.22,16.05.22,16.04.22,17.03.22,15.02.22,16.01.22,17.12.21,17.11.21,18.10.21,18.09.21,19.08.21,20.07.21,20.06.21,21.05.21,21.04.21,22.03.21,20.02.21,21.01.21,22.12.20,22.11.20,23.10.20,23.09.20,24.08.20,25.07.20,25.06.20,26.05.20,26.04.20,27.03.20,26.02.20,27.01.20,28.12.19,28.11.19,29.10.19,29.09.19,30.08.19,31.07.19,01.07.19,01.06.19,02.05.19,02.04.19,03.03.19,01.02.19,02.01.19,03.12.18,03.11.18,04.10.18,04.09.18,05.08.18,06.07.18,06.06.18,07.05.18,07.04.18,08.03.18,06.02.18,07.01.18,08.12.17,08.11.17,09.10.17,09.09.17,10.08.17,11.07.17,11.06.17,12.05.17,12.04.17,13.03.17,11.02.17,12.01.17,13.12.16,13.11.16,14.10.16,14.09.16,15.08.16,16.07.16,16.06.16,17.05.16,17.04.16,18.03.16,17.02.16,18.01.16,19.12.15,19.11.15,20.10.15,20.09.15,21.08.15,22.07.15,22.06.15,23.05.15,23.04.15,24.03.15,22.02.15,23.01.15,24.12.14,24.11.14,25.10.14,25.09.14,26.08.14,27.07.14,27.06.14,28.05.14,28.04.14,29.03.14,27.02.14,28.01.14,29.12.13,29.11.13,30.10.13,30.09.13,31.08.13,01.08.13,02.07.13,02.06.13,03.05.13,03.04.13,04.03.13,02.02.13,03.01.13,04.12.12,04.11.12,05.10.12,05.09.12,06.08.12,07.07.12,07.06.12,08.05.12,08.04.12,09.03.12,08.02.12,09.01.12,10.12.11,10.11.11,11.10.11,11.09.11,12.08.11,13.07.11,13.06.11,14.05.11,14.04.11,15.03.11,13.02.11,14.01.11,15.12.10,15.11.10,16.10.10,16.09.10,17.08.10,18.07.10,18.06.10,19.05.10,19.04.10,20.03.10,18.02.10,19.01.10
IQT46194413,395.4524,482.2072,597.78,664.9155,701.5312,819.1592,579.3087,589.0443,438.3804,516.2172,463.6581,550.4657,685.072,741.6819,957.9168,866.4679,775.835,719.6999,665.5726,796.1605,956.2167,1007.0445,792.396,778.0497,1055.4443,1167.2465,1187.9311,1491.6849,1379.6347,1306.0386,1477.9099,1623.21,1273.9225,993.6733,1041.9623,807.6524,717.9471,833.5881,667.9051,718.2792,753.7558,810.4585,760.3327,613.9125,723.2673,821.3953,922.1024,1129.6347,1407.6751,1296.5021,2481.0545,3310.6514,3698.7671,4280.3031,4545.4508,4484.407,9970.0683,4239.9969,1214.9559,284.2446,198.5914,150.3967,157.6227,182.6722,231.5776,189.5294,171.5087,205.187,269.3376,251.7058,297.0507,293.6246,288.3807,364.96,299.3373,325.7131,317.8909,309.0766,343.4752,366.0584,309.2402,293.3691,262.8552,234.9293,238.6264,253.6577,264.3112,272.3481,268.2189,259.9471,248.6825,250.5603,258.5795,282.0866,333.0579,364.0908,386.235,407.6953,407.0427,416.539,423.8746,403.4244,421.1101,445.6299,451.1721,454.99,450.0005,450.0455,390.1056,393.2421,349.2773,376.005,377.8952,387.862,387.9406,415.0853,442.6198,400.0333,382.5826,365.0622,402.3711,457.4203,301.6975,298.5445,1982.8343,2002.5226,2030.8947,2053.8879,2072.4798,273.287,274.6229,168.3359,158.2492,157.9821,141.4919,162.0562,309.2955,419.308,533.0731,347.8621,353.136,348.8119,342.3714,367.9637,458.9629,828.6547,1546.0872,2636.7415,2654.1907,2424.6879,2312.9575,2321.952,2726.2286,3711.0483,3889.2997,20110.8085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IQT46193236,40.4711,40.8852,41.4506,43.5175,41.4599,43.4886,42.703,43.1261,42.8201,42.4492,42.8417,42.7019,49.5156,45.5,47.6953,47.3332,51.1457,47.7672,47.9987,48.9934,49.445,49.6857,45.2385,40.9873,39.7409,40.3678,40.2624,39.9075,38.5008,40.1161,41.7561,43.4079,43.0107,44.259,38.1916,36.1019,35.3328,35.6728,36.3353,36.7635,38.1728,39.9816,40.092,41.0677,41.1181,40.9495,41.6752,50.4153,50.0155,49.0821,48.2891,49.7081,48.3188,45.7117,49.9203,49.6244,50.1347,51.1751,55.2536,44.3204,44.1755,43.8769,43.7055,44.0984,44.911,44.5475,47.1304,47.8509,49.0522,44.4337,43.2581,42.0046,42.399,45.1462,39.8048,38.1882,38.0536,33.1294,39.6059,42.0906,43.0074,42.7325,42.9602,39.666,36.8928,44,44.7159,45.3384,47.5822,40.3333,42.6828,41.6215,44.0421,46.8649,50,50.8852,61.4427,62,64.6485,48.9066,48.1975,45.9201,48.181,55.6272,54.8782,54.4985,40.3651,38.879,39.8587,33.0783,32.7043,32.1767,32.9307,30.9334,31.1761,29.5222,26.7969,26.2919,25.7694,25.9527,25.8136,24.3395,24.1505,25.4321,26.9619,24.8707,24.775,24.5721,23.8771,26.1482,25.7121,25.6555,24.8658,23.7484,24.2499,27.0599,29.7578,33.0391,34.9804,36.8804,40.2291,41.9522,43.3397,49.0453,50.4812,50.9201,52.3264,57.4732,50.6799,41.5479,45.8307,45.3726,45.2821,48.9607,46.2559,46.15,56.4504,64.5797,72.776,73.4496,63.8547,40.8931,43.9755,44.895,40.8158,40.9916,39.091,39.5973,41.3045,40.6922,44.6999,39.3531,41.8506,44.5596,43.8095,44.073,45.4095,52.5674,56.4307,54.0387,53.4748,52.4498,42.4607
IQT46194326,36.9223,36.0774,39.8358,39.3699,38.5888,45.2083,39.4527,41.1885,46.9807,40.032,35.6256,39.1976,45.1281,55.5887,62.364,61.5392,56.9182,60.1862,57.9171,60.3823,57.4773,57.5251,64.494,61.5777,74.1842,80.7434,76.882,115.6315,78.2408,57.0581,75.663,77.447,80.924,62.6055,49.9804,53.4894,40.0115,43.5485,45.2907,49.7613,51.716,59.8908,68.8548,70.55,74.3737,63.1788,74.1234,58.9846,51.5046,41.3322,41.5001,54.9957,49.5,36,56.6031,50.728,48.7968,55.3304,103.8115,45.0436,38.5682,41.3122,51.753,64.8689,64.4917,51.589,62.3113,69.6979,99.9756,80.7033,101.725,104.656,117.1079,191.5212,136.9392,132.8481,97.2766,95.3446,109.0846,142.4583,138.3151,175.7927,235.4072,203.1279,190.9661,184.4194,208.4047,173.5116,158.3135,173.4436,183.148,188.7615,201.7543,232.199,215.9431,218.3547,226.5415,238.6713,255.382,368.5351,399.706,395.0351,550.9952,670.1347,807.4067,1058.7589,1214.642,1097.4256,1498.7116,1699.1555,1498.4302,1316.778,1404.6717,1418.2969,1487.9083,1615.4645,724.493,800.3981,799.5864,606.8644,506.5423,700.404,658.6869,703.0531,686.2557,441.9465,330.0198,373.9829,353.7189,385.0119,404.5883,464.8651,449.413,530.2099,531.7151,540.0893,587.2859,597.8061,655.3161,628.0834,661.7762,636.197,545.3612,832.0934,955.9714,1016.0573,995.1399,930.2375,1050.9998,664.8229,664.9909,603.9148,472.253,497.4968,400.2912,403.1519,394.2609,377.9697,602.146,603.5688,655.5894,664.6763,575.5524,603.7729,465.4158,453.0053,358.9488,415.5149,385.1073,367.7346,436.029,436.8789,510.0695,553.182,648.8915,613.6104,582.7022,599.8002,686.5313,522.7884,560.1054,635.2861,625.6599
IQT46193699,36.1079,34.9125,35.5015,36.343,33.6029,38,33.4774,34.2452,33.9984,32.9275,32.2573,33.6405,32.7337,31.3488,34.6221,37.9858,35.2378,37.2711,38.4084,37.9336,41.0001,39.9274,39.2322,36.4291,35.326,37.6255,34.1872,38.0105,31.2495,24.5169,28.125,30.3538,27.3332,28.7129,27.9087,29.6343,25.1667,23.8071,26.5099,26.9789,25.914,29.3692,27.3325,29.875,29.428,25.7028,22.2683,19.6861,17.4945,17.8195,16.424,14.5889,16.994,12.0004,15.5005,17.1829,16,26.3,43.168,41.2251,42.0296,44.1564,48.0772,49.7691,57.1065,47.6875,48.9111,52.3358,67.1804,63.9809,56.3413,41.1289,40.7939,46.6078,37.4239,35.561,35.3355,30.1442,28.9694,36.9229,32.257,33.3548,38.2898,34.6735,35.8536,29.3169,36.574,36.7571,26.68,25.6935,22.3808,21.6339,23.0514,24.9825,29.6933,28.8278,30.6762,37.8621,39.7422,40.3773,39.4158,36.0985,32.1178,33.5,37.2764,36.2348,31.962,30.7034,30.3905,25.7157,23.2613,28.3374,27.165,36.3259,42.0553,41.0099,33.0093,23.9178,20.4295,20.6135,22.0111,23.229,23.2152,28.2822,33.3865,35.1825,33.1642,35.1892,34.0946,37.8995,39.4087,42.2116,40.5452,39.804,38.0191,38.1485,35.7423,41.0512,43.0633,39.041,47.6466,39.7327,34.8219,42.6698,47.8105,47.8635,49.6855,58.7519,55.6847,59.2324,70.9859,67.9503,71.4241,70.47,60.1597,52.407,52.58,54.2946,69.9616,74.4417,78.3406,72.5906,82.679,84.6613,70.7928,66.5404,57.7138,62.1571,56.6628,52.8714,59.7509,59.6643,65.1591,65.3227,74.5345,77.4136,78.6175,86.8836,98.4258,86.0762,96.7752,60.4343,50.3483
IQT46194614,34.9994,34.9833,35.0057,35.0077,34.9862,34.9534,34.9865,34.8064,34.4683,34.4683,34.476,34.4745,33.9797,33.9818,34.4882,34.4774,34.4699,34.471,34.4814,34.9729,34.9759,35.0867,35.4485,35.5109,35.9768,35.9985,36,37.0235,37.5131,37.513,37.4904,37.5364,37.4903,37.6809,37.1443,36.9863,36.9979,36.0134,35.5115,35.5243,36.0165,36.4712,36.4794,37.3906,37.472,37.4663,37.582,37.6913,37.6821,38.6989,39.1268,39.178,38.8393,37.7777,37.8434,38.3172,38.2738,38.3459,38.0563,37.1666,36.8492,37.3264,36.951,36.7947,37.3779,35.9498,36.1545,36.9242,37.4533,39.3163,38.7644,42.455,40.387,36.0678,32.5787,32.5609,33.4042,31.9063,31.5624,31.8032,32.3795,33.0897,36.1924,39.5929,40.1571,39.1024,40.7215,41.8443,43.8731,42.7726,43.0316,42.3015,41.6623,42.1917,42.8461,42.1253,44.9369,44.2651,44.8756,44.9815,45.7244,46.0453,45.8061,46.1877,46.3521,58.4125,63.9029,65.1487,67.5899,67.3598,65.7149,67.4048,72.2605,47.6871,44.3294,44.1526,44.4889,44.6644,44.0564,44.3963,44.2972,44.7596,45.8446,42.9418,49.6747,49.2342,48.4755,48.585,48.0103,49.7286,51.3075,53.1551,56.879,60.7782,62.5535,68.9687,74.849,80.2157,80.6379,72.1751,48.6088,45.3718,48.7081,56.2605,54.9041,53.7894,50.5429,54.8808,54.4745,45.9993,59.1149,61.3255,65.7951,70.0518,62.4612,61.8452,63.8978,65.5262,75.273,80.1005,85.8399,88.6365,74.0135,72.0874,62.0715,59.9866,56.7176,59.8582,59.1205,75.0474,89.3257,93.0043,106.7818,111.0012,106.6715,104.0838,95.9923,86.161,92.5894,88.574,91.0759,91.9826,44.4542
IQT46205977,26.4331,21.8429,20.8498,20.2019,19.5125,27.4865,22.8645,21.6095,19.5938,20.2628,20.3333,21.3241,23.1574,22.0358,26.4118,30.3334,26.3246,29.1156,30.6932,31.0296,35.2284,32.4175,36.4163,36.267,34.2208,37.5259,36.2613,37.0332,32.1868,24.315,32.8284,37.4833,35.0933,30.819,27.1237,30.9465,25.5317,24.0996,26.0704,24.8239,20.6002,22.5508,24.9655,24.915,25.8318,23.4319,27.1212,22.5899,19.9708,22.8512,18.2564,17.9621,19.8837,14.9917,21.4007,23.1227,22.386,19.8737,31.1841,22.1172,18.4769,17.5752,18.5469,19.0008,26.5195,20.3815,21.2882,23.0235,32.9837,28.2259,30.2869,28.7403,30.843,39.0463,33.9652,35.2063,35.8973,34.4167,30.5001,36.1878,31.4013,31.2101,34.5144,32.5469,30.6452,22.8333,26.875,29.375,22.5879,23.25,20.1055,19.6111,20.1234,22.8141,23.6545,23.479,23.363,24.0355,25.0166,26.4112,29.2452,27.2006,25.0264,24.7,28.5555,26.7163,24.8756,26.8952,20.28,17.6089,16.7553,19.5734,22.4336,21.9983,21.6452,18.2418,16.5872,15.8182,15.9641,15.1242,15.1324,14.2314,15.6471,17.522,18.3944,23.0835,19.0362,18.8181,19.7583,21.5727,23.3492,24.4191,22.1752,20.4174,15.3785,18.2812,19.8597,23.7587,27.4474,24.1603,26.3405,20.1656,19.2382,24.5154,26.2056,25.4124,26.9727,32.8019,32.5055,31.6663,35.529,34.3318,36.3876,38.4788,31.7264,29.8983,31.0234,29.7189,43.0212,45.1221,51.1115,53.6493,57.3637,48.7053,38.3768,38.9332,37.289,36.6316,32.8328,30.7764,33.6047,31.6331,34.1388,35.0477,37.6847,42.3847,44.2749,49.8714,55.5541,47.4067,50.0228,48.7676,37.2237
IQT46193849,35.7338,36.5089,40.1473,39.6404,36.9717,42.8532,39.8209,44.102,46.7543,46.8532,56.8334,55.8596,66.5413,66.281,52.6141,112.7329,89.4943,102.3553,114.2309,116.1374,148.517,116.9618,124.7688,119.479,116.2605,143.6982,125.4034,138.2071,134.8231,142.3958,205.3679,139.5555,149.1496,114.165,125.0195,115.3881,102.7607,107.8436,98.8913,88.2389,100.0966,126.7134,125.4,109.3938,115.1281,123.5621,146.2321,116.455,118.0712,152.0849,195.7721,204.3046,181.2951,139.0035,142.4574,136.9329,111.1371,309.8806,532.6914,103.2564,98.1374,69.8117,94.7202,117.0212,130.7432,127.1157,118.9242,113.9792,145.7117,91.7422,111.1801,112.5265,141.3148,215.2153,163.1246,121.0786,92.0759,91.8369,86.6396,90.8568,96.5453,99.2223,126.3408,115.8716,105.7759,115.2371,133.6628,110.1036,139.7789,171.412,182.5244,201.1598,176.7019,153.0896,135.7166,161.6503,159.3215,156.9178,168.6064,224.0984,211.0202,258.747,266.9713,237.5214,270.5349,266.7107,252.5317,341.9482,649.411,486.5821,368.1561,194.923,218.5751,224.4801,217.911,175.6083,158.4092,140.9491,143.0942,170.582,156.8777,165.743,153.4064,94.5117,90.5358,70.7394,60.8623,58.7756,57.4539,68.272,77.2149,83.7086,81.0242,88.735,82.4224,81.5049,87.1586,107.8469,120.5457,117.5727,134.1021,108.6834,141.7627,142.1544,157.0175,172.7617,142.4629,149.5273,146.4095,151.7422,192.6118,201.2226,220.1668,211.1883,149.8435,125.2596,128.6501,140.186,167.0519,174.0612,168.9662,190.6265,174.3257,151.3642,94.0861,86.386,80.5915,79.652,80.2282,67.4229,75.1665,78.2513,77.9715,85.9857,99.693,98.023,107.2409,115.8988,100.3574,83.9464,84.254,89.6786,70.1802
IQT46195298,31.4332,30.7941,35.0279,35.2784,30.351,37.9604,31.4412,28.2046,30.2814,30.787,31.4628,35.9583,42.472,47.5251,55.0876,54.274,46.5565,39.4178,39.9262,45.2335,55.9706,56.1546,47.5166,42.9591,54.0564,64.8893,67.1909,67.3542,56.9802,51.6715,66.6428,64.0896,60.2012,47.112,42.8057,36.9546,33.3886,33.903,32.8845,36.0759,30.7813,33.9546,35.3379,33.2756,36.4784,35.161,36.9283,31.0746,34.4104,35.3053,31.2122,30.7193,30.9429,22.635,21.9897,24.667,26.0373,48.1549,63.6667,33.5869,28.495,27.3505,27.7335,29.4744,37.4285,32.8157,31.249,28.2764,39.5777,33.5607,36.7819,35.5476,35.9481,46.8021,40.6181,37.9337,34.3992,32.4457,32.0932,38.507,38.8768,34.6065,39.3997,30.0685,24.9397,17.8812,18.8335,20.13,21.8876,27.3862,26.5153,26.2128,27.0375,28.9956,32.0494,29.5904,32.1192,34.9665,37.168,38.055,45.5633,43.3052,40.6279,40.1667,48.4498,45.1664,46.7664,43.9383,62.2869,51.8242,36.0659,37.2144,37.6593,41.5319,45.7778,50.8076,49.3319,45.3286,45.0666,46.0386,45.7056,39.5441,40.9271,40.2256,43.7302,43.9516,40.0644,38.4484,37.1858,37.5527,40.8392,41.9309,41.2851,44.1863,37.7399,39.748,39.6912,50.6212,55.7658,56.4538,59.7901,48.3394,46.3903,60.3098,64.9309,67.2744,70.7618,78.3977,75.1195,76.4875,83.0984,85.4959,93.2262,101.7248,79.4477,75.0574,82.6101,80.999,108.6332,111.5995,110.4107,117.2633,125.9808,114.2781,89.5544,81.9289,74.1676,74.7405,75.6864,73.5834,81.0329,78.1414,73.7714,99.053,87.1282,88.6318,99.8565,110.0047,120.0883,75.3599,84.0352,95.6181,75.3931
IQT323680030,56.2283,60.3333,61.5167,66.6508,58.7245,59.2137,59.2062,60.1245,60.3245,60.4745,58.6755,58.808,58.9395,61.7095,62.3431,62.2755,61.7319,61.7307,63.4992,64.6292,64.7938,64.8922,63.5,63.65,65.3,66,66.949,66.9821,65.9463,65.9104,63.5,63.9493,64.05,65.9247,63.2621,56.9696,57,56.9639,57,57.2909,56.2937,56.2577,56.2549,56.2855,56.2495,56.2471,57.8663,56.5818,58.9083,84.782,87.0705,131.0283,132.1255,166.4562,150,169.4496,155.4919,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,140.5,141,147,71.6904,63.2009,68.9694,67.9312,66.2653,75.1373,68.6363,68.0379,60.8135,119.9999,59.4734,120.0657,58.9033,139.9608,139.9611,139.459,139.4598,139.4603,139.4608,139.4614,139.462,139.4583,138.9603,138.4624,129.9825,138.9623,138.888,137.9616,132.4741,132.4746,132.4749,133.732,132.4782,132.5348,129.9541,108.4078,116.4355,116.9245,116.8829,116.1869,116.0305,116.3667,116.2901,114.1791,114.4247,113.8715,113.9978,114.068,107.0113,98.33,98.33,97.4968,151.5061,151.1828,151.1186,151.0588,151.9725,151.1343,150.9448,149.9817,149.9145,147.3931,146.6152,145.7659,144.999,147.0299,150.5036,154.002,157.0613,160.4895,159.9981,160.1254,164.0138,167.1254,172.5744,180.2239,140.3347,139.9636,139.7665,169.9316,169.9259,169.9846,169.9482,169.9218,169.9074,169.9226,182.407,182.3285,161.5574,121.5313,98.0902,97.9772,189.9239,177.8046,175.2928,175.7996,173.315,172.7974,172.8058,180.7728,180.7536,160.1352,159.641,160.1408,159.6456,97.2282,97.2282,97.2282,97.2282,97.2643,97.2317,537.5553,537.5553,537.5553,537.5553
IQT46193990,52.5083,50.6937,54.4128,56.6666,53.9727,59.8818,48.8148,46.1987,48.3396,49.7048,53.2915,62.0491,63.9695,67.877,79.9551,87.8687,72.8998,73.1552,79.5968,82.8786,106.7974,111.5559,91.8499,80.1719,84.9894,90.6415,94.3935,113.2159,93.083,78.4507,95.9406,102.1972,93.3455,73.0983,76.1679,76.444,63.6175,61.1187,58.8812,60.2344,53.2516,59.9637,59.559,65.4876,72.6863,69.9163,74.7535,66.852,65.8584,76.8608,70.3837,76.5578,79.1151,68.8868,70.118,80.5193,98.0894,92.2076,105.9589,61.4772,51.7826,60.3415,66.2909,68.3587,79.3391,69.7367,63.0208,69.6916,84.7869,86.5199,98.7625,98.5001,100.9293,127.3385,101.1032,92.6191,87.2015,84.4735,75.8715,82.4487,81.234,80.245,80.9426,65.7879,66.9614,53.1018,57.3843,61.0281,58.2911,70.6346,55.3185,56.3324,61.1415,72.0394,87.8899,82.4394,80.6641,78.4407,79.6849,76.8233,81.2304,74.9502,77.2962,70.625,82.5861,76.0479,74.4693,64.8575,136.9718,71.8195,48.6003,55.9992,48.0677,54.5751,59.4669,58.0518,61.1637,55.1162,58.5317,58.4368,55.7805,50.4978,50.2516,57.1665,62.8806,61.7364,56.742,56.2141,51.3942,53.8517,58.3545,68.9471,67.9998,76.797,71.5372,76.09,79.9728,98.567,100.9384,99.4799,118.0471,110.4061,98.2693,110.7774,115.7546,121.5774,120.1314,159.0858,141.78,132.8321,192.9574,191.5959,242.6252,264.3793,204.3036,218.8223,217.2226,257.1863,428.7817,448.4886,439.31,491.4678,365.9348,334.4715,213.4592,200.7069,169.9276,175.1822,200.9553,177.5385,195.7168,211.1008,206.5936,226.3158,297.6513,311.8416,353.9045,349.1454,390.6449,265.3411,324.9845,587.2825,561.8461
