iqt,date,cds_spread
IQT106833241,2012-01-09,103.5063
IQT106833241,2012-02-08,92.8951
IQT106833241,2012-03-09,99.7447
IQT106833241,2012-04-08,101.978
IQT106833241,2012-05-08,104.7014
IQT106833241,2012-06-07,130.0772
IQT106833241,2012-07-07,123.7446
IQT106833241,2012-08-06,124.2055
IQT106833241,2012-09-05,123.9079
IQT106833241,2012-10-05,108.667
IQT106833241,2012-11-04,115.0598
IQT106833241,2012-12-04,107.1256
IQT106833241,2013-01-03,101.7311
IQT106833241,2013-02-02,109.57
IQT106833241,2013-03-04,115.3366
IQT106833241,2013-04-03,116.5878
IQT106833241,2013-05-03,139.1269
IQT106833241,2013-06-02,150.3899
IQT106833241,2013-07-02,190.8749
IQT106833241,2013-08-01,179.3784
IQT106833241,2013-08-31,171.6802
IQT106833241,2013-09-30,174.403
IQT106833241,2013-10-30,191.7397
IQT106833241,2013-11-29,187.4857
IQT106833241,2013-12-29,178.9171
IQT106833241,2014-01-28,186.1127
IQT106833241,2014-02-27,154.8401
IQT106833241,2014-03-29,162.5178
IQT106833241,2014-04-28,153.2333
IQT106833241,2014-05-28,147.9739
IQT106833241,2014-06-27,139.7706
IQT106833241,2014-07-27,135.9267
IQT106833241,2014-08-26,127.0042
IQT106833241,2014-09-25,154.3555
IQT106833241,2014-10-25,153.3851
IQT106833241,2014-11-24,153.8438
IQT106833241,2014-12-24,154.2621
IQT106833241,2015-01-23,146.7659
IQT106833241,2015-02-22,135.6552
IQT106833241,2015-03-24,140.0321
IQT106833241,2015-04-23,141.5792
IQT106833241,2015-05-23,134.8584
IQT106833241,2015-06-22,144.1958
IQT106833241,2015-07-22,149.8582
IQT106833241,2015-08-21,182.3022
IQT106833241,2015-09-20,179.3934
IQT106833241,2015-10-20,177.4327
IQT106833241,2015-11-19,175.5893
IQT106833241,2015-12-19,196.2007
IQT106833241,2016-01-18,213.1674
IQT106833241,2016-02-17,200.826
IQT106833241,2016-03-18,132.32
IQT106833241,2016-04-17,113.8441
IQT106833241,2016-05-17,114.3403
IQT106833241,2016-06-16,100.4696
IQT106833241,2016-07-16,96.8734
IQT106833241,2016-08-15,96.8734
IQT106833241,2016-09-14,96.8734
IQT106833241,2016-10-14,95.2487
IQT106833241,2016-11-13,80.9368
IQT106833241,2016-12-13,95.8423
IQT106833241,2017-01-12,87.5306
IQT106833241,2017-02-11,84.3021
IQT106833241,2017-03-13,84.8922
IQT106833241,2017-04-12,83.7229
IQT106833241,2017-05-12,81.6943
IQT106833241,2017-06-11,69.575
IQT106833241,2017-07-11,69.6146
IQT106833241,2017-08-10,71.9268
IQT106833241,2017-09-09,70.376
IQT106833241,2017-10-09,63.381
IQT106833241,2017-11-08,62.3556
IQT106833241,2017-12-08,57.9398
IQT106833241,2018-01-07,50.6187
IQT106833241,2018-02-06,51.4373
IQT106833241,2018-03-08,61.3623
IQT106833241,2018-04-07,75.7699
IQT106833241,2018-05-07,73.2359
IQT106833241,2018-06-06,74.4645
IQT106833241,2018-07-06,73.7097
IQT106833241,2018-08-05,71.6534
IQT106833241,2018-09-04,80.3891
IQT106833241,2018-10-04,85.0505
IQT106833241,2018-11-03,86.301
IQT106833241,2018-12-03,93.4589
IQT106833241,2019-01-02,107.0443
IQT106833241,2019-02-01,78.3583
IQT106833241,2019-03-03,72.4474
IQT106833241,2019-04-02,73.5932
IQT106833241,2019-05-02,72.9433
IQT106833241,2019-06-01,84.1769
IQT106833241,2019-07-01,62.7541
IQT106833241,2019-07-31,63.3421
IQT106833241,2019-08-30,72.2358
IQT106833241,2019-09-29,75.2017
IQT106833241,2019-10-29,71.7657
IQT106833241,2019-11-28,66.9554
IQT106833241,2019-12-28,62.0907
IQT106833241,2020-01-27,40.2407
IQT106833241,2020-02-26,37.2017
IQT106833241,2020-03-27,45.0
IQT106833241,2020-04-26,35.3648
IQT106833241,2020-05-26,13.5958
IQT106833241,2020-06-25,20.1667
IQT106833241,2020-07-25,15.8046
IQT106833241,2020-08-24,16.3944
IQT106833241,2020-09-23,22.9167
IQT106833241,2020-10-23,25.5
IQT106833241,2020-11-22,26.077
IQT106833241,2020-12-22,30.9519
IQT106833241,2021-01-21,25.25
IQT106833241,2021-02-20,29.375
IQT106833241,2021-03-22,36.1488
IQT106833241,2021-04-21,35.049
IQT106833241,2021-05-21,40.2092
IQT106833241,2021-06-20,40.2291
IQT106833241,2021-07-20,44.0181
IQT106833241,2021-08-19,40.5801
