model,strategy,threshold,test_auc,test_recall,test_precision,test_f1,test_tp,test_fp,test_tn,test_fn
Medium,Default (0.50),0.5,0.6421232708918472,0.47163362952836635,0.34277198211624443,0.3970080552359033,690,1323,3490,773
Medium,F1-Optimized,0.43830345317751196,0.6421232708918472,0.7614490772385509,0.2931578947368421,0.4233326999809994,1114,2686,2127,349
Medium,Recall ≥ 0.55,0.4800700727093621,0.6421232708918472,0.569377990430622,0.32577238951896753,0.41442786069651744,833,1724,3089,630
Medium,Recall ≥ 0.60,0.4736738052024224,0.6421232708918472,0.6001367053998633,0.32043795620437954,0.41779681180109446,878,1862,2951,585
Medium,Cost-Sensitive (3:1),0.47114144510307865,0.6421232708918472,0.6131237183868763,0.3188766441521507,0.4195509822263798,897,1916,2897,566
Medium,Youden Index,0.46965856387440746,0.6421232708918472,0.621326042378674,0.31749912679008035,0.420249653259362,909,1954,2859,554
Strong,Default (0.50),0.5,0.6326569261110581,0.15379357484620643,0.4017857142857143,0.22244191794364804,225,335,4478,1238
Strong,F1-Optimized,0.42892735772597623,0.6326569261110581,0.7416267942583732,0.29150994089199356,0.4185149469623915,1085,2637,2176,378
Strong,Recall ≥ 0.55,0.4478463390547405,0.6326569261110581,0.5618591934381408,0.31482190731520493,0.40353460972017674,822,1789,3024,641
Strong,Recall ≥ 0.60,0.44276905983949183,0.6326569261110581,0.6035543403964456,0.3040633608815427,0.4043966109457293,883,2021,2792,580
Strong,Cost-Sensitive (3:1),0.4583994372083254,0.6326569261110581,0.4764183185235817,0.3376937984496124,0.3952367451091579,697,1367,3446,766
Strong,Youden Index,0.43764569694253586,0.6326569261110581,0.6596035543403964,0.3015625,0.4138966330688398,965,2235,2578,498
