fold,model,auc,f1,precision,recall,accuracy
1,Naive CDS,0.45773444632842053,0.08129233976029182,0.04475043029259897,0.4431818181818182,0.5184375853591915
2,Naive CDS,0.5011312525555405,0.3715659340659341,0.30376193149915776,0.47833775419982316,0.5001365747063644
3,Naive CDS,0.40940701524595496,0.1401911697769686,0.08579387186629527,0.38308457711442784,0.48402075935536737
4,Naive CDS,0.44761070145496035,0.3077485380116959,0.23349972268441485,0.4512325830653805,0.4826550122917236
5,Naive CDS,0.5453552163856176,0.336866902237927,0.23820099944475293,0.5750670241286864,0.5386506419011199
1,CDS-Only,0.5154762292943785,0.09289617486338798,0.04941860465116279,0.7727272727272727,0.2745151597924064
2,CDS-Only,0.5170348392237447,0.3032824780397596,0.3178294573643411,0.29000884173297964,0.5883638350177547
3,CDS-Only,0.5897339018317433,0.2172797262617622,0.13119834710743802,0.6318407960199005,0.5001365747063644
4,CDS-Only,0.528984875201554,0.3712699514226232,0.2744997434581837,0.5734190782422294,0.5050532641354821
5,CDS-Only,0.49941506214964654,0.2751704773365423,0.1963365769891242,0.4597855227882037,0.5064190111991259
1,Top 10,0.46090142819877394,0.07521697203471553,0.04529616724738676,0.2215909090909091,0.7380497131931166
2,Top 10,0.5778511094103298,0.054706355591311345,0.30357142857142855,0.030061892130857647,0.6790494400437039
3,Top 10,0.6314580060727355,0.24282296650717702,0.15984251968503937,0.5049751243781094,0.6541928434853865
4,Top 10,0.5395990686870782,0.33116601647160815,0.2780203784570597,0.40943193997856375,0.5785304561595193
5,Top 10,0.5239578495256577,0.28430934286991505,0.21327967806841047,0.4262734584450402,0.562687790221251
