gvkey,company_name,date,year,quarter,cds_spread,cds_spread_lead_4q,future_cds_change_abs,future_cds_change_pct,distress_flag
1045,American Airlines Group Inc.,2010-03-31,2010,1,,,,,
1045,American Airlines Group Inc.,2010-06-30,2010,2,,,,,
1045,American Airlines Group Inc.,2010-09-30,2010,3,,,,,
1045,American Airlines Group Inc.,2010-12-31,2010,4,,,,,
1045,American Airlines Group Inc.,2011-03-31,2011,1,,,,,
1045,American Airlines Group Inc.,2011-06-30,2011,2,,881.943405666666,,,0.0
1045,American Airlines Group Inc.,2011-09-30,2011,3,,881.943405666666,,,0.0
1045,American Airlines Group Inc.,2011-12-31,2011,4,,881.943405666666,,,0.0
1045,American Airlines Group Inc.,2012-03-31,2012,1,,881.943405666666,,,0.0
1045,American Airlines Group Inc.,2012-06-30,2012,2,881.943405666666,353.049,-528.894405666666,-0.5996920009474664,0.0
1045,American Airlines Group Inc.,2012-09-30,2012,3,881.943405666666,413.3448,-468.59860566666595,-0.5313250290844339,0.0
1045,American Airlines Group Inc.,2012-12-31,2012,4,881.943405666666,204.2812,-677.662205666666,-0.7683737996254049,0.0
1045,American Airlines Group Inc.,2013-03-31,2013,1,881.943405666666,161.5224,-720.4210056666659,-0.8168562756270008,0.0
1045,American Airlines Group Inc.,2013-06-30,2013,2,353.049,873.4632333333334,520.4142333333334,1.4740566701317195,1.0
1045,American Airlines Group Inc.,2013-09-30,2013,3,413.3448,881.943405666666,468.59860566666595,1.1336748536976053,1.0
1045,American Airlines Group Inc.,2013-12-31,2013,4,204.2812,861.0254333333334,656.7442333333333,3.214902954032644,1.0
1045,American Airlines Group Inc.,2014-03-31,2014,1,161.5224,408.2845333333333,246.76213333333328,1.52772701082533,1.0
1045,American Airlines Group Inc.,2014-06-30,2014,2,873.4632333333334,408.4119,-465.0513333333334,-0.5324223339757441,0.0
1045,American Airlines Group Inc.,2014-09-30,2014,3,881.943405666666,396.9626333333334,-484.9807723333326,-0.5499001060807671,0.0
1045,American Airlines Group Inc.,2014-12-31,2014,4,861.0254333333334,367.72583333333336,-493.2996,-0.572921055409784,0.0
1045,American Airlines Group Inc.,2015-03-31,2015,1,408.2845333333333,411.1310666666666,2.846533333333298,0.006971935258221794,0.0
1045,American Airlines Group Inc.,2015-06-30,2015,2,408.4119,452.0542,43.64229999999998,0.10685854158510068,0.0
1045,American Airlines Group Inc.,2015-09-30,2015,3,396.9626333333334,423.38813333333337,26.4255,0.0665692379610205,0.0
1045,American Airlines Group Inc.,2015-12-31,2015,4,367.72583333333336,415.8187666666667,48.09293333333335,0.13078475585297927,0.0
1045,American Airlines Group Inc.,2016-03-31,2016,1,411.1310666666666,386.0070333333333,-25.124033333333273,-0.06110954722305898,0.0
1045,American Airlines Group Inc.,2016-06-30,2016,2,452.0542,291.24133333333333,-160.81286666666665,-0.35573802138475136,0.0
1045,American Airlines Group Inc.,2016-09-30,2016,3,423.38813333333337,253.0633,-170.32483333333337,-0.40229005001242363,0.0
1045,American Airlines Group Inc.,2016-12-31,2016,4,415.8187666666667,268.29273333333333,-147.52603333333337,-0.35478445216878546,0.0
1045,American Airlines Group Inc.,2017-03-31,2017,1,386.0070333333333,242.40446666666665,-143.60256666666666,-0.3720205961704843,0.0
1045,American Airlines Group Inc.,2017-06-30,2017,2,291.24133333333333,288.4881666666667,-2.7531666666666297,-0.009453214058443958,0.0
1045,American Airlines Group Inc.,2017-09-30,2017,3,253.0633,339.5367333333333,86.4734333333333,0.34170673239989086,1.0
1045,American Airlines Group Inc.,2017-12-31,2017,4,268.29273333333333,314.31376666666665,46.02103333333332,0.17153291019684713,0.0
1045,American Airlines Group Inc.,2018-03-31,2018,1,242.40446666666665,315.6551,73.25063333333335,0.3021835131200829,1.0
1045,American Airlines Group Inc.,2018-06-30,2018,2,288.4881666666667,272.69803333333334,-15.790133333333358,-0.05473407632548772,0.0
1045,American Airlines Group Inc.,2018-09-30,2018,3,339.5367333333333,199.450675,-140.0860583333333,-0.4125799790734473,0.0
1045,American Airlines Group Inc.,2018-12-31,2018,4,314.31376666666665,163.56386666666666,-150.7499,-0.4796159633690878,0.0
1045,American Airlines Group Inc.,2019-03-31,2019,1,315.6551,565.9306333333333,250.27553333333327,0.7928765710844946,1.0
1045,American Airlines Group Inc.,2019-06-30,2019,2,272.69803333333334,881.943405666666,609.2453723333326,2.2341392231040387,1.0
1045,American Airlines Group Inc.,2019-09-30,2019,3,199.450675,881.943405666666,682.4927306666659,3.4218622256689075,1.0
1045,American Airlines Group Inc.,2019-12-31,2019,4,163.56386666666666,881.943405666666,718.3795389999993,4.392043020504118,1.0
1045,American Airlines Group Inc.,2020-03-31,2020,1,565.9306333333333,881.943405666666,316.0127723333327,0.5583948875006401,1.0
1045,American Airlines Group Inc.,2020-06-30,2020,2,881.943405666666,719.5250333333333,-162.41837233333263,-0.18415963120735585,0.0
1045,American Airlines Group Inc.,2020-09-30,2020,3,881.943405666666,774.849,-107.09440566666592,-0.12143002031486665,0.0
1045,American Airlines Group Inc.,2020-12-31,2020,4,881.943405666666,739.9241333333333,-142.01927233333265,-0.1610299157755814,0.0
1045,American Airlines Group Inc.,2021-03-31,2021,1,881.943405666666,855.8539333333333,-26.08947233333265,-0.02958179874774558,0.0
1045,American Airlines Group Inc.,2021-06-30,2021,2,719.5250333333333,881.943405666666,162.41837233333263,0.22572998131962047,1.0
1045,American Airlines Group Inc.,2021-09-30,2021,3,774.849,881.943405666666,107.09440566666592,0.13821325918555216,1.0
1045,American Airlines Group Inc.,2021-12-31,2021,4,739.9241333333333,881.943405666666,142.01927233333265,0.19193761351388908,1.0
1045,American Airlines Group Inc.,2022-03-31,2022,1,855.8539333333333,875.2966666666667,19.442733333333422,0.022717349977710476,0.0
1045,American Airlines Group Inc.,2022-06-30,2022,2,881.943405666666,881.943405666666,0.0,0.0,0.0
1045,American Airlines Group Inc.,2022-09-30,2022,3,881.943405666666,720.3691666666667,-161.57423899999924,-0.18320250252096887,0.0
1045,American Airlines Group Inc.,2022-12-31,2022,4,881.943405666666,855.3555333333334,-26.587872333332598,-0.030146914373983754,0.0
1045,American Airlines Group Inc.,2023-03-31,2023,1,875.2966666666667,566.3986,-308.89806666666675,-0.35290670972508376,0.0
1045,American Airlines Group Inc.,2023-06-30,2023,2,881.943405666666,514.5473000000001,-367.3961056666659,-0.4165756025909045,0.0
1045,American Airlines Group Inc.,2023-09-30,2023,3,720.3691666666667,699.9997,-20.369466666666767,-0.028276427711254666,0.0
1045,American Airlines Group Inc.,2023-12-31,2023,4,855.3555333333334,535.0887749999999,-320.2667583333334,-0.3744253071997431,0.0
1045,American Airlines Group Inc.,2024-03-31,2024,1,566.3986,,,,
1045,American Airlines Group Inc.,2024-06-30,2024,2,514.5473000000001,,,,
1045,American Airlines Group Inc.,2024-09-30,2024,3,699.9997,,,,
1045,American Airlines Group Inc.,2024-12-31,2024,4,535.0887749999999,,,,
1045,American Airlines Group Inc.,2025-03-31,2025,1,,,,,
1045,American Airlines Group Inc.,2025-06-30,2025,2,,,,,
1045,American Airlines Group Inc.,2025-09-30,2025,3,,,,,
1078,Abbott Laboratories,2010-03-31,2010,1,49.46176666666667,42.2322,-7.2295666666666705,-0.14616474812531977,0.0
1078,Abbott Laboratories,2010-06-30,2010,2,54.3456,39.8933,-14.452299999999994,-0.265933212624389,0.0
1078,Abbott Laboratories,2010-09-30,2010,3,44.43066666666667,43.22876666666667,-1.2018999999999949,-0.02705113585211404,0.0
1078,Abbott Laboratories,2010-12-31,2010,4,41.9211,59.39913333333334,17.478033333333336,0.4169268777139277,1.0
1078,Abbott Laboratories,2011-03-31,2011,1,42.2322,64.60203333333334,22.36983333333334,0.5296866687819565,1.0
1078,Abbott Laboratories,2011-06-30,2011,2,39.8933,47.1222,7.228899999999996,0.18120586664928687,0.0
1078,Abbott Laboratories,2011-09-30,2011,3,43.22876666666667,45.495133333333335,2.266366666666663,0.052427280290978984,0.0
1078,Abbott Laboratories,2011-12-31,2011,4,59.39913333333334,49.90033333333333,-9.49880000000001,-0.15991479112489873,0.0
